franchise,player,pos,current_type,proposed_type,confidence,current_contractInfo,proposed_contractInfo,proposed_contractInfo_note,mapping_note,drafted
Hawks,"Worthy, Xavier",WR,Rookie,Rookie-Draft,confirmed,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,Traded rookie — origin assumed Draft; confirm via event chain.,Trade (2024)
L.A. Looks,"Allen, Braelon",RB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,4.06 (2024)
L.A. Looks,"Aubrey, Brandon",PK,Veteran,Vet-FAA,confirmed,CL 2| TCV 4K| AAV 2K,CL 2| TCV 4K| AAV 2K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),"Auction $2,000 (2025)"
L.A. Looks,"Bailey, David",DE,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),4.08
L.A. Looks,"Battle, Jordan",S,Vet-ERA,Vet-ERA,confirmed,CL 1| TCV 4K| AAV 4K,CL 1| TCV 4K| AAV 4K,(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $4,000"
L.A. Looks,"Bigsby, Tank",RB,Vet-ERA,Vet-ERA,confirmed,CL 1| TCV 4K| AAV 4K,CL 1| TCV 4K| AAV 4K,(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $4,000"
L.A. Looks,"Brown, Chase",RB,EXT2,Vet-Ext2,confirmed,"CL 2|TCV 44K|AAV 22K|Y1-22K, Y2-22K|Ext: L.A.|GTD: 33K","CL 2|TCV 44K|AAV 22K|Y1-22K, Y2-22K|Ext: L.A.|GTD: 33K",(numbers unchanged — type only),confirmed (EXT2 review),Trade (2024)
L.A. Looks,"Burks, Deion",WR,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),5.06
L.A. Looks,"Charbonnet, Zach",RB,Vet-ERA,Vet-ERA,confirmed,CL 1| TCV 7K| AAV 7K,CL 1| TCV 7K| AAV 7K,(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $7,000"
L.A. Looks,"Curl, Kamren",S,TAG,Tag,confirmed,CL 1| TCV 4K| AAV 4K| GTD 3K| Tag| Tier 1| Formula: Avg Top 1-6 DB AAV,CL 1| TCV 4K| AAV 4K| GTD 3K| Tag| Tier 1| Formula: Avg Top 1-6 DB AAV,(numbers unchanged — type only),Tag/TAG case-merge.,Trade (2025)
L.A. Looks,"Elliott, DeShon",S,Veteran,Vet-MYM,confirmed,"CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K","CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K",(numbers unchanged — type only),WW pickup post-contract-deadline = MYM,"BB $1,000 (2025)"
L.A. Looks,"Emmanwori, Nick",S,Rookie,Rookie-Draft,confirmed,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),6.09 (2025)
L.A. Looks,"Ferguson, Jake",TE,Veteran,Vet-Ext1,confirmed,"CL 2| TCV 32K| AAV 21K| Y1-11, Y2-21| Ext: Blake, L.A. Looks","CL 2| TCV 32K| AAV 21K| Y1-11, Y2-21| Ext: Blake, L.A. Looks",(numbers unchanged — type only),corrected — 1yr extension,Trade (2025)
L.A. Looks,"Green, Mike",DE,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,4.12 (2025)
L.A. Looks,"Henry, Robert",RB,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),5.01
L.A. Looks,"Jennings, Jauan",WR,Veteran,Vet-Ext1,confirmed,"CL 2| TCV 32K| AAV 21K| Y1-11K, Y2-21K| Ext: Creel, L.A.| GTD: 24K","CL 2| TCV 32K| AAV 21K| Y1-11K, Y2-21K| Ext: Creel, L.A.| GTD: 24K",(numbers unchanged — type only),corrected — 1yr extension,Trade (2025)
L.A. Looks,"Lance, Bryce",WR,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),3.10
L.A. Looks,"Latu, Laiatu",DE,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,5.12 (2024)
L.A. Looks,"McNeil-Warren, Emmanuel",S,R,Rookie-Draft,confirmed,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K","CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),6.01
L.A. Looks,"Mims, Marvin",WR,Vet-ERA,Vet-ERA,confirmed,CL 1| TCV 1K| AAV 1K,CL 1| TCV 1K| AAV 1K,(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $1,000"
L.A. Looks,"Mitchell, Adonai",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,Trade (2025)
L.A. Looks,"Nix, Bo",QB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,Traded rookie — origin assumed Draft; confirm via event chain.,Trade (2024)
L.A. Looks,"Parkinson, Colby",TE,MYM - Vet,Vet-MYM,confirmed,"CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K","CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"BB $1,000 (2025)"
L.A. Looks,"Pierce, Alec",WR,Veteran,Vet-FAA,confirmed,CL 2| TCV 4K| AAV 2K,CL 2| TCV 4K| AAV 2K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),"Auction $2,000 (2025)"
L.A. Looks,"Sampson, Dylan",RB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,3.03 (2025)
L.A. Looks,"Sanders, Shedeur",QB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,3.04 (2025)
L.A. Looks,"Sorsby, Brendan",QB,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),5.03
L.A. Looks,"St. Brown, Amon-Ra",WR,TAG,Tag,confirmed,CL 1| TCV 51K| AAV 51K| GTD 38.3K| Tag| Tier 1| Formula: Avg Top 1-6 WR AAV,CL 1| TCV 51K| AAV 51K| GTD 38.3K| Tag| Tier 1| Formula: Avg Top 1-6 WR AAV,(numbers unchanged — type only),Tag/TAG case-merge.,Trade (2023)
L.A. Looks,"Sutton, Courtland",WR,Veteran,Vet-Ext1,confirmed,"CL 2| TCV 30K| AAV 20K| Y1-15K, Y2-15K| Ext: L.A. Looks","CL 2| TCV 30K| AAV 20K| Y1-15K, Y2-15K| Ext: L.A. Looks",(numbers unchanged — type only),corrected — 1yr extension; RESTRUCTURE (add restructure:<year>),"Auction $10,000 (2023)"
L.A. Looks,"Turner, Dallas",DE,(blank),Rookie-Draft,confirmed,,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,6.01 (2024)
L.A. Looks,"Wentz, Carson",QB,Veteran,Vet-MYM,confirmed,CL 2| TCV 2K| AAV 1K,CL 2| TCV 2K| AAV 1K,BACKFILL: multi-year missing Y-schedule,WW pickup post-contract-deadline = MYM,"BB $1,000 (2025)"
L.A. Looks,"Williams, Isaiah",WR,Veteran,Vet-MYM,confirmed,"CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K","CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K",(numbers unchanged — type only),WW pickup post-contract-deadline = MYM,"BB $1,000 (2025)"
Pure Greatness,"Adams, Davante",WR,FL,Vet-FAA-FL,confirmed,"CL 3| TCV 90K| AAV 30K| Y1-50, Y2-20, Y3-20","CL 3| TCV 90K| AAV 30K| Y1-50, Y2-20, Y3-20",(numbers unchanged — type only),confirmed,Trade (2025)
Pure Greatness,"All, Erick",TE,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,Trade (2025)
Pure Greatness,"Bosa, Nick",DE,Veteran,Vet-FAA,confirmed,"CL 3| TCV 15K| AAV 5K| Y1-5, Y2-5, Y3-5","CL 3| TCV 15K| AAV 5K| Y1-5, Y2-5, Y3-5",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $5,000 (2024)"
Pure Greatness,"Douglas, Caleb",WR,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),5.02
Pure Greatness,"Ertz, Zach",TE,MYM - Vet,Vet-MYM,confirmed,"CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K","CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),FCFS (2025)
Pure Greatness,"Flowers, Zay",WR,Veteran,Vet-Ext2,confirmed,"CL 3| TCV 55K| AAV 25K| Y1-5, Y2-25, Y3-25| Ext: GRide","CL 3| TCV 55K| AAV 25K| Y1-5, Y2-25, Y3-25| Ext: GRide",(numbers unchanged — type only),Has Ext: token but non-EXT status — reclassify as extension.,Trade (2025)
Pure Greatness,"Garrett, Myles",DE,TAG,Tag,confirmed,CL 1| TCV 10K| AAV 10K| GTD 7.5K| Tag| Tier 1| Formula: Avg Top 1-6 DL AAV | 10% salary floor (rounded up),CL 1| TCV 10K| AAV 10K| GTD 7.5K| Tag| Tier 1| Formula: Avg Top 1-6 DL AAV | 10% salary floor (rounded up),(numbers unchanged — type only),Tag/TAG case-merge.,"Auction $9,000 (2024)"
Pure Greatness,"Gibbs, Jahmyr",RB,Veteran,Vet-Ext2,confirmed,"CL 3| TCV 73K| AAV 31K| Y1-11K, Y2-31K, Y3-31K| Ext: Sex","CL 3| TCV 73K| AAV 31K| Y1-11K, Y2-31K, Y3-31K| Ext: Sex",(numbers unchanged — type only),Has Ext: token but non-EXT status — reclassify as extension.,Trade (2025)
Pure Greatness,"Horton, Tory",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,4.02 (2025)
Pure Greatness,"Irving, Bucky",RB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),3.10 (2024)
Pure Greatness,"Jeanty, Ashton",RB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 45K| AAV 15K | Option Eligible,CL 3| TCV 45K| AAV 15K | Option Eligible,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),1.01 (2025)
Pure Greatness,"Jefferson, Justin",WR,BL,Vet-Ext2-BL,confirmed,"CL 2| TCV 96K| AAV 48K| Y1-25K, Y2-71K| Ext:  Sex, Hammer","CL 2| TCV 96K| AAV 48K| Y1-25K, Y2-71K| Ext:  Sex, Hammer",(numbers unchanged — type only),confirmed,Trade (2025)
Pure Greatness,"Klare, Max",TE,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),4.01
Pure Greatness,"Legette, Xavier",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,Trade (2024)
Pure Greatness,"Maye, Drake",QB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 24K| AAV 8K,CL 3| TCV 24K| AAV 8K,BACKFILL: multi-year missing Y-schedule,Traded rookie — origin assumed Draft; confirm via event chain.,Trade (2024)
Pure Greatness,"Mayfield, Baker",QB,FL,Vet-FAA-FL,confirmed,"CL 2| TCV 62K| AAV 31K| Y1-36, Y2-26,","CL 2| TCV 62K| AAV 31K| Y1-36, Y2-26,",(numbers unchanged — type only),confirmed,"Auction $31,000 (2025)"
Pure Greatness,"Olave, Chris",WR,FL,Vet-Ext2-FL,confirmed,"CL 2| TCV 62K| AAV 31K| Y1-51, Y2-11| Ext: Blake","CL 2| TCV 62K| AAV 31K| Y1-51, Y2-11| Ext: Blake",(numbers unchanged — type only),confirmed — PROBABLE RESTRUCTURE (Keith to confirm); not in cloud D1,Trade (2024)
Pure Greatness,"Payton, Cole",QB,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),5.04
Pure Greatness,"Sarratt, Elijah",WR,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),4.06
Pure Greatness,"Schultz, Dalton",TE,Veteran,Vet-FAA?,low,"CL 3| TCV 12K| AAV 4K| Y1-4, Y2-4, Y3-4","CL 3| TCV 12K| AAV 4K| Y1-4, Y2-4, Y3-4",(numbers unchanged — type only),Traded vet — origin (FAA/WW/ERA) needs event chain; defaulted FAA.,Trade (2025)
Pure Greatness,"Smith, Tykee",S,Veteran,Vet-Ext1,confirmed,CL 2| TCV 5K| AAV 4K|Y1-1 Y2-4 | Ext: LH,CL 2| TCV 5K| AAV 4K|Y1-1 Y2-4 | Ext: LH,(numbers unchanged — type only),corrected — 1yr extension,Trade (2025)
Pure Greatness,"Thomas Jr., Brian",WR,Rookie,Rookie-Draft,confirmed,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,Traded rookie — origin assumed Draft; confirm via event chain.,Trade (2024)
Pure Greatness,"Thornton, Dont'e",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,5.02 (2025)
Pure Greatness,"Trotter, Josiah",LB,R,Rookie-Draft,confirmed,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K","CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),6.04
Pure Greatness,"Wallace, Trevin",LB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,6.06 (2024)
Pure Greatness,"Williams, Savion",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,Trade (2025)
Real Deal Creel,"Benson, Trey",RB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 18K| AAV 6K,CL 3| TCV 18K| AAV 6K,BACKFILL: multi-year missing Y-schedule,Traded rookie — origin assumed Draft; confirm via event chain.,Trade (2025)
Real Deal Creel,"Boutte, Kayshon",WR,Vet-ERA,Vet-ERA,confirmed,CL 1| TCV 2K| AAV 2K,CL 1| TCV 2K| AAV 2K,(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $2,000"
Real Deal Creel,"Coleman, Keon",WR,Rookie,Rookie-Draft,confirmed,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,Traded rookie — origin assumed Draft; confirm via event chain.,Trade (2025)
Real Deal Creel,"Concepcion, KC",WR,R,Rookie-Draft,confirmed,"CL 3|TCV 27K|AAV 9K|Y1-9K, Y2-9K, Y3-9K|GTD: 20.3K|Keep Option as Y4Option =14K","CL 3|TCV 27K|AAV 9K|Y1-9K, Y2-9K, Y3-9K, Y4-14K Option|GTD: 20.3K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),1.07
Real Deal Creel,"Cooper Jr., Omar",WR,R,Rookie-Draft,confirmed,"CL 3|TCV 21K|AAV 7K|Y1-7K, Y2-7K, Y3-7K|GTD: 15.8K|Keep Option as Y4Option =12K","CL 3|TCV 21K|AAV 7K|Y1-7K, Y2-7K, Y3-7K, Y4-12K Option|GTD: 15.8K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),1.09
Real Deal Creel,"Etienne, Travis",RB,TAG,Tag,confirmed,CL 1| TCV 19K| AAV 19K| GTD 14.3K| Tag| Tier 3| Formula: Avg Top 9-31 RB AAV | 10% salary floor (rounded up),CL 1| TCV 19K| AAV 19K| GTD 14.3K| Tag| Tier 3| Formula: Avg Top 9-31 RB AAV | 10% salary floor (rounded up),(numbers unchanged — type only),Tag/TAG case-merge.,Trade
Real Deal Creel,"Fant, Noah",TE,Veteran,Vet-FAA,confirmed,"CL 3| TCV 12K| AAV 4K| Y1-4, Y2-4, Y3-4","CL 3| TCV 12K| AAV 4K| Y1-4, Y2-4, Y3-4",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $4,000 (2024)"
Real Deal Creel,"Goedert, Dallas",TE,Veteran,Vet-FAA?,low,CL 2| TCV 14K| AAV 7K,CL 2| TCV 14K| AAV 7K,BACKFILL: multi-year missing Y-schedule,Traded vet — origin (FAA/WW/ERA) needs event chain; defaulted FAA.,Trade (2025)
Real Deal Creel,"Harrison Jr., Marvin",WR,Rookie,Rookie-Draft,confirmed,CL 3| TCV 42K| AAV 14K,CL 3| TCV 42K| AAV 14K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),1.02 (2024)
Real Deal Creel,"Henderson, TreVeyon",RB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 36K| AAV 12K | Option Eligible,CL 3| TCV 36K| AAV 12K | Option Eligible,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),1.04 (2025)
Real Deal Creel,"Karlaftis, George",DE,Veteran,Vet-FAA,confirmed,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),"Auction $1,000 (2025)"
Real Deal Creel,"Mayer, Michael",TE,Vet-ERA,Vet-ERA,confirmed,CL 1| TCV 2K| AAV 2K,CL 1| TCV 2K| AAV 2K,(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $2,000"
Real Deal Creel,"McDonald, Will",DE,Vet-ERA,Vet-ERA,confirmed,CL 1| TCV 1K| AAV 1K,CL 1| TCV 1K| AAV 1K,(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $1,000"
Real Deal Creel,"McMillan, Tetairoa",WR,Rookie,Rookie-Draft,confirmed,CL 3| TCV 21K| AAV 7K | Option Eligible,CL 3| TCV 21K| AAV 7K | Option Eligible,BACKFILL: multi-year missing Y-schedule,Traded rookie — origin assumed Draft; confirm via event chain.,Trade (2025)
Real Deal Creel,"Miller, Kendre",RB,Vet-ERA,Vet-ERA,confirmed,CL 1| TCV 1K| AAV 1K,CL 1| TCV 1K| AAV 1K,(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $1,000"
Real Deal Creel,"Pearce, James",DE,Rookie,Rookie-Draft,confirmed,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),6.05 (2025)
Real Deal Creel,"Rodriguez, Chris",RB,Vet-ERA,Vet-ERA,confirmed,CL 1| TCV 3K| AAV 3K,CL 1| TCV 3K| AAV 3K,(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"Auction $3,000"
Real Deal Creel,"Sanders, Ja'Tavion",TE,Veteran,Vet-MYM,confirmed,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,WW pickup post-contract-deadline = MYM,"BB $1,000 (2025)"
Real Deal Creel,"Stribling, De'Zhaun",WR,R,Rookie-Draft,confirmed,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),2.06
Real Deal Creel,"Styles, Sonny",LB,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),3.06
Real Deal Creel,"Thornton, Tyquan",WR,Veteran,Vet-MYM,confirmed,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,WW pickup post-contract-deadline = MYM,"BB $1,000 (2025)"
Real Deal Creel,"Watson, Christian",WR,Veteran,Vet-WW,confirmed,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),"BB $1,000 (2025)"
Real Deal Creel,"Watson, Deshaun",QB,Veteran,Vet-FAA,confirmed,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),"Auction $1,000 (2025)"
Real Deal Creel,"Young, Zion",DE,R,Rookie-Draft,confirmed,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K","CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),6.08
Sex Manther,"Achane, De'Von",RB,Veteran,Vet-Ext2,confirmed,CL 3| TCV 55K| AAV 25K| Ext: Gride,CL 3| TCV 55K| AAV 25K| Ext: Gride,BACKFILL: multi-year missing Y-schedule,Has Ext: token but non-EXT status — reclassify as extension.,Trade (2025)
Sex Manther,"Bagent, Tyson",QB,MYM - Vet,Vet-MYM,confirmed,"CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K","CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),FCFS (2025)
Sex Manther,"Bain Jr., Rueben",DE,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),3.11
Sex Manther,"Brooks, Jonathon",RB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 21K| AAV 7K,CL 3| TCV 21K| AAV 7K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),1.09 (2024)
Sex Manther,"Brooks, Tahj",RB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Traded rookie — origin assumed Draft; confirm via event chain.,Trade (2025)
Sex Manther,"Burton, Jermaine",WR,(blank),Rookie-Draft,confirmed,,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,2.02 (2024)
Sex Manther,"Campbell, Jihaad",LB,(blank),Rookie-Draft,confirmed,,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,Restored from 2025 (2026 contractInfo wiped); roll contractYear forward.,5.12 (2025)
Sex Manther,"Chism, Efton",WR,MYM - Rookie,Rookie-MYM,confirmed,"CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K","CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),"BB $1,000 (2025)"
Sex Manther,"Croskey-Merritt, Jacory",RB,Rookie,Rookie-Draft,confirmed,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),5.11 (2025)
Sex Manther,"Dell, Tank",WR,Veteran,Vet-FAA?,low,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,BACKFILL: multi-year missing Y-schedule,Traded vet — origin (FAA/WW/ERA) needs event chain; defaulted FAA.,Trade (2025)
Sex Manther,"Delp, Oscar",TE,R,Rookie-Draft,confirmed,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",(numbers unchanged — type only),confirmed (cluster review 2026-05-31),4.04
Sex Manther,"Fannin, Harold",TE,Rookie,Rookie-Draft,confirmed,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,BACKFILL: multi-year missing Y-schedule,confirmed (cluster review 2026-05-31),2.10 (2025)
Sex Manther,"Gadsden, Oronde",TE,Rookie,Rookie-FAA,high,CL 3| TCV 12K| AAV 4K,CL 3| TCV 12K| AAV 4K,BACKFILL: multi-year missing Y-schedule,,"Auction $4,000 (2025)"
